번호,제목,내용,구분
1,와이파이가 안 잡혀요,"사무실 3층 회의실에서 와이파이가 안 잡혀요. 노트북에서는 목록에 뜨는데 연결이 안 돼요. 어제까지 잘 됐습니다.",네트워크
2, 와이파이 연결은 되는데 인터넷이 안 돼요 ,"연결은 되는데 인터넷이 안 됩니다. 핸드폰은 잘 돼요. 노트북만 그래요.", 네트워크
3,VPN 접속 오류,"집에서 VPN으로 접속하려는데 '인증 실패'라고 뜹니다. 비밀번호는 확실해요.",VPN
4, VPN은 되는데 사내망이 안 보여요 ,"VPN 연결은 성공했는데 파일서버가 안 보입니다.",VPN
5,프린터가 인쇄를 안 해요,"2층 공용 프린터에서 인쇄를 눌러도 반응이 없어요. 용지는 있습니다.",프린터
6,인쇄는 되는데 글자가 깨져요,"출력은 되는데 한글 글자가 깨져서 나옵니다. 어제 드라이버를 업데이트했습니다.",프린터
7,이메일 수신이 안 돼요,"아웃룩에서 새 메일이 안 옵니다. 보내기는 됩니다.",이메일
8, 첨부파일이 안 열려요 ,"메일 첨부 엑셀 파일이 안 열려요. 용량은 30MB입니다.",이메일
9,계정 잠김,"비밀번호를 5번 틀렸더니 계정이 잠겼다고 합니다.",계정
10, 퇴사자 계정 정리 ,"지난달 퇴사한 직원의 계정이 아직 살아있어요. 정리해 주세요.",계정
11,"급해요 ㅠㅠ 와이파이 좀","3층 와이파이 안 돼요 빨리 와주세요",네트워크
12,와이파이 문의,"사무실 3층 회의실에서 와이파이가 안 잡혀요. 노트북에서는 목록에 뜨는데 연결이 안 돼요. 어제까지 잘 됐습니다.",네트워크
13,테스트,ㅁㄴㅇㄹ 테스트입니다,기타
14,외부 연락 요청,"연락처가 적힌 행은 시드에 넣지 않습니다. 전화번호·실명은 마스킹하거나 버립니다.",기타
